Stadtname,type,kurzname,DOMAIN,Open Data Portal,Kontakt Mail,Lat,Lon,modified,sourced-from-m,sourced-from-d,sourced-from-c,sourced-from-b,sourced-from-g,catalog-sources,percentopen
Karlsruhe,Stadt,karlsruhe,http://karlsruhe.de,,online-team@pia.karlsruhe.de,49.0105758,8.4041208,2014-12-11,0,1,0,0,4,"offenedaten.de,govdata.de",0.0
Verbandsgemeinde Sankt Goar-Oberwesel,,verbandsgemeindesanktgoar-oberwesel,,,,50.1027814,7.67059682046591,2014-12-11,0,101,0,0,0,daten.rlp.de,1.0
Plaidt,,plaidt,,,,50.3924191,7.3904512,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Hof,,hof,,,,50.3219015,11.9178807,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Verbandsgemeinde Mendig,,verbandsgemeindemendig,,,,50.3693333,7.2805696,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Verbandsgemeinde Gerolstein,,verbandsgemeindegerolstein,,,,50.2234404,6.6618586,2014-12-11,0,268,0,0,0,daten.rlp.de,1.0
Verbandsgemeinde Emmelshausen,,verbandsgemeindeemmelshausen,,,,50.1564357,7.5545807,2014-12-11,0,244,0,0,0,daten.rlp.de,1.0
Hornbach,,hornbach,,,,49.1875373,7.3687796,2014-12-11,0,2,0,0,0,daten.rlp.de,1.0
Troisdorf,,troisdorf,,,,50.8153071,7.1593271,2014-12-11,0,2,0,0,0,govdata.de,1.0
Gelsenkirchen,Stadt,gelsenkirchen,http://gelsenkirchen.de,,redaktion@gelsen-net.de,51.55622845,7.081511196,2014-12-11,0,0,0,0,8,offenedaten.de,0.0
Laufeld,,laufeld,,,,50.0792259,6.8644499,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Regensburg,,regensburg,,,,49.0195333,12.0974869,2014-12-11,0,1,0,0,0,govdata.de,0.0
Verbandsgemeinde Dierdorf,,verbandsgemeindedierdorf,,,,50.5479176,7.6570093,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Niederfischbach,,niederfischbach,,,,50.856157,7.8804934,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Bochum,Stadt,bochum,http://bochum.de,http://www.bochum.de/opendata,info@bochum.de,51.482321,7.2187465,2014-12-11,0,25,0,0,0,http://www.bochum.de/opendata,1.0
Alsdorf,,alsdorf,,,,50.8771537,6.1620774,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Oberwesel,,oberwesel,,,,50.1060039,7.726558,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Verbandsgemeinde Cochem,,verbandsgemeindecochem,,,,50.1484113,7.166281,2014-12-11,0,142,0,0,0,daten.rlp.de,1.0
Wissen,,wissen,,,,50.7827594,7.7355905,2014-12-11,0,1,0,0,0,govdata.de,0.0
Dahn,,dahn,,,,49.1493317,7.7802569,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Koblenz,,koblenz,,,,50.34624975,7.58400984250468,2014-12-11,0,23,0,0,0,daten.rlp.de,1.0
Mutterstadt,,mutterstadt,,,,49.4422445,8.3542306,2014-12-11,0,2,0,0,0,daten.rlp.de,1.0
Kausen,,kausen,,,,50.7415625,7.868058,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Girod,,girod,,,,50.4510676,7.910067,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Hamm,Stadt,hamm,http://hamm.de,,-,51.6615566,7.81666112944453,2014-12-11,0,0,0,1,0,offenedaten.de,0.0
Dockweiler,,dockweiler,,,,50.2510261,6.7799648,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Rhens,,rhens,,,,50.281527,7.6162978,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Albig,,albig,,,,49.7735056,8.121674,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Saulheim,,saulheim,,,,49.8735238,8.1490682,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Sprendlingen,,sprendlingen,,,,49.8598924,7.9862476,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Hönningen,,hoenningen,,,,50.4722745,6.9571651,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Verbandsgemeinde Dannstadt-Schauernheim,,verbandsgemeindedannstadt-schauernheim,,,,49.4355521,8.3097391,2014-12-11,0,2,0,0,0,daten.rlp.de,1.0
Schifferstadt,,schifferstadt,,,,49.3845728,8.3731645,2014-12-11,0,2,0,0,0,daten.rlp.de,1.0
Chemnitz,Stadt,chemnitz,http://chemnitz.de,,katja.uhlemann@stadt-chemnitz.de,50.8322608,12.9252977,2014-12-11,0,0,4,0,0,offenedaten.de,0.0
Feuerscheid,,feuerscheid,,,,50.1028937,6.4548557,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Hochspeyer,,hochspeyer,,,,49.4440075,7.8965283,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Verbandsgemeinde Kastellaun,,verbandsgemeindekastellaun,,,,50.0715547,7.4429326,2014-12-11,0,149,0,0,0,daten.rlp.de,0.993288590604027
Mayschoß,,mayschoss,,,,50.5234776,7.0198281,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Frankenthal (Pfalz),,frankenthalpfalz,,,,49.5445804,8.3540061,2014-12-11,0,8,0,0,0,daten.rlp.de,1.0
Hannover,Landeshauptstadt,hannover,http://hannover.de,,Internetredaktion@Hannover-Stadt.de,52.3744779,9.7385532,2014-12-11,0,4,0,0,1,"offenedaten.de,govdata.de",0.0
Köln,Stadt,koeln,http://stadt-koeln.de,http://offenedaten-koeln.de,e-government@stadt-koeln.de,50.9577031,6.95495255522418,2014-12-11,0,163,1,5,19,"offenedaten.de,offenedaten-koeln.de",0.867021276595745
Cuxhaven,,cuxhaven,,,,53.8687798,8.6982859,2014-12-11,0,5,0,0,0,govdata.de,0.4
Verbandsgemeinde Ransbach-Baumbach,,verbandsgemeinderansbach-baumbach,,,,50.4667,7.73333,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Potsdam,Stadt,potsdam,http://potsdam.de,,Poststelle@Rathaus.Potsdam.de,52.42822535,13.02407591,2014-12-11,0,0,0,2,2,offenedaten.de,0.0
Verbandsgemeinde Edenkoben,,verbandsgemeindeedenkoben,,,,49.282236,8.1284357,2014-12-11,0,2,0,0,0,daten.rlp.de,1.0
Verbandsgemeinde Kusel,,verbandsgemeindekusel,,,,49.5399844,7.4008479,2014-12-11,0,10,0,0,0,daten.rlp.de,1.0
Wilgartswiesen,,wilgartswiesen,,,,49.2075724,7.8690791,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Kaiserslautern,Stadt,kaiserslautern,http://kaiserslautern.de,,-,49.4432174,7.7689951,2014-12-11,0,18,1,4,0,"offenedaten.de,daten.rlp.de",0.782608695652174
Wahlrod,,wahlrod,,,,50.6499392,7.7165507,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Düsseldorf,Stadt,duesseldorf,http://duesseldorf.de,,info@duesseldorf.de ,51.2235376,6.7637565,2014-12-11,0,0,0,27,10,offenedaten.de,0.0
Mannheim,Universitätsstadt,mannheim,http://mannheim.de,,stadtverwaltung@mannheim.de,49.4895914,8.4672361,2014-12-11,0,0,0,0,15,offenedaten.de,0.0
Tübingen,,tuebingen,,,,48.5236164,9.0535531,2014-12-11,0,1,0,0,0,govdata.de,0.0
Gerolsheim,,gerolsheim,,,,49.5485287,8.2647113,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Roxheim,,roxheim,,,,49.8639145,7.8098763,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Verbandsgemeinde Nieder-Olm,,verbandsgemeindenieder-olm,,,,49.9024441,8.2022984,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Boppard,,boppard,,,,50.228893,7.6000539,2014-12-11,0,99,0,0,0,daten.rlp.de,1.0
Verbandsgemeinde Bad Kreuznach,,verbandsgemeindebadkreuznach,,,,49.8431642,7.8657658,2014-12-11,0,9,0,0,0,daten.rlp.de,1.0
Frankfurt am Main,Stadt,frankfurt,http://frankfurt.de,http://offenedaten.frankfurt.de,onlinebuero@stadt-frankfurt.de,50.12134215,8.661951186,2014-12-11,1,29,0,0,1,"offenedaten.de,offenedaten.frankfurt.de",0.935483870967742
Mertesheim,,mertesheim,,,,49.5700371,8.1335199,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Laudert,,laudert,,,,50.0775557,7.6032905,2014-12-11,0,2,0,0,0,daten.rlp.de,1.0
Büchel,,buechel,,,,50.1730329,7.0840762,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Mainz,Stadt,mainz,http://mainz.de,,oberbuergermeister@stadt.mainz.de,49.9999952,8.2710237,2014-12-11,0,152,0,0,3,"daten.rlp.de,offenedaten.de",0.980645161290323
Verbandsgemeinde Bad Breisig,,verbandsgemeindebadbreisig,,,,50.5092867,7.2980569,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Neuwied,,neuwied,,,,50.4302589,7.4663112,2014-12-11,0,10,0,0,0,daten.rlp.de,1.0
Barbelroth,,barbelroth,,,,49.101447,8.0728342,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Sinzig,,sinzig,,,,50.5452042,7.2490828,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Dresden,Stadt,dresden,http://dresden.de,,presse@dresden.de,51.0493286,13.7381437,2014-12-11,0,0,0,1,5,offenedaten.de,0.0
Rhein-Erft-Kreis,Landkreis,rhein-erft-kreis,http://rhein-erft-kreis.de,,,50.90334,6.763334,2014-12-11,0,0,0,1,2,offenedaten.de,0.0
Erlangen,,erlangen,,,,49.5981208,11.0036532,2014-12-11,0,2,0,0,0,govdata.de,1.0
Bremen,Stadt,bremen,http://bremen.de,http://daten.bremen.de,info@bremen.de,53.0758099,8.80717,2014-12-11,0,144,53,11,34,"offenedaten.de,daten.bremen.de",0.698347107438017
Idar-Oberstein,,idar-oberstein,,,,49.7106197,7.313321,2014-12-11,0,2,0,0,0,daten.rlp.de,1.0
Rheinbreitbach,,rheinbreitbach,,,,50.6185836,7.2291175,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Rückweiler,,rueckweiler,,,,49.5822882,7.2401787,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Westoverledingen,Stadt,westoverledingen,http://westoverledingen.de,,Gemeinde@westoverledingen.de ,53.15,7.46667,2014-12-11,0,0,0,0,1,offenedaten.de,0.0
Marxzell,Stadt,marxzell,http://marxzell.de,,gemeinde@marxzell.de,48.8617614,8.4488303,2014-12-11,0,0,0,0,1,offenedaten.de,0.0
Pirmasens,,pirmasens,,,,49.1996961,7.6087847,2014-12-11,0,8,0,0,0,daten.rlp.de,1.0
Alzey,,alzey,,,,49.7455695,8.1150946,2014-12-11,0,3,0,0,0,daten.rlp.de,1.0
Sessenhausen,,sessenhausen,,,,50.5270744,7.7138848,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Trier,,trier,,,,49.7599119,6.6444925,2014-12-11,0,46,0,0,0,daten.rlp.de,1.0
Norderney,,norderney,,,,53.7122885,7.23577947730025,2014-12-11,0,1,0,0,0,govdata.de,0.0
Spangdahlem,,spangdahlem,,,,49.9833,6.68333,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Norden,,norden,,,,53.5942039,7.2067435,2014-12-11,0,1,0,0,0,govdata.de,0.0
Klein-Winternheim,,klein-winternheim,,,,49.9397907,8.2127574,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Verbandsgemeinde Kirchberg (Hunsrück),,verbandsgemeindekirchberghunsrueck,,,,49.9330554,7.35476790609633,2014-12-11,0,227,0,0,0,daten.rlp.de,1.0
Klotten,,klotten,,,,50.1641546,7.2003745,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Diepholz,Landkreis,diepholz,http:/diepholz.de,http://gdi.diepholz.de,,52.6113677,8.372661,2014-12-11,0,421,0,0,0,gdi.diepholz.de,0.0
Juist,,juist,,,,53.6784483,6.9956079,2014-12-11,0,1,0,0,0,govdata.de,0.0
Moers,Stadt,moers,http://moers.de,http://offenedaten.moers.de,offenedaten@moers.de,51.4512826,6.6284302,2014-12-11,0,125,1,6,1,"offenedaten.de,offenedaten.moers.de",0.93984962406015
Esslingen am Neckar,Stadt,esslingen,http://esslingen.de,,roland.karpentier@esslingen.de ,48.7388603,9.3010797,2014-12-11,0,0,0,0,33,offenedaten.de,0.0
Borkum,,borkum,,,,53.5859383,6.69158131203533,2014-12-11,0,1,0,0,0,govdata.de,0.0
Verbandsgemeinde Bad Ems,,verbandsgemeindebadems,,,,50.3352062,7.7128538,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Verbandsgemeinde Winnweiler,,verbandsgemeindewinnweiler,,,,49.5696123,7.8523678,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Kottenheim,,kottenheim,,,,50.3481315,7.2547868,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Waldesch,,waldesch,,,,50.2806912,7.5462298,2014-12-11,0,2,0,0,0,daten.rlp.de,1.0
Nierstein,,nierstein,,,,49.8710847,8.3365369,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Verbandsgemeinde Konz,,verbandsgemeindekonz,,,,49.6991955,6.573793,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Germersheim,Stadt,germersheim,http://germersheim.eu,,dfranzen@germersheim.eu,49.2231,8.36389,2014-12-11,0,10,0,0,0,daten.rlp.de,1.0
Salzgitter,Stadt,salzgitter,http://salzgitter.de,,redaktion@stadt.salzgitter.de,52.1480205,10.3489635,2014-12-11,0,0,3,3,3,offenedaten.de,0.0
Otterbach,,otterbach,,,,49.4861803,7.737771,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Wuppertal,Stadt,wuppertal,http://wuppertal.de,https://www.wuppertal.de/rathaus-buergerservice/offene_daten/index.php,stadtverwaltung@stadt.wuppertal.de,51.264018,7.1780374,2014-12-11,0,2,0,1,0,"offenedaten.de,wuppertal.de",0.666666666666667
Niederhorbach,,niederhorbach,,,,49.1160541,8.0327863,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Wennigsen (Deister),Stadt,wennigsen,http://wennigsen.net,http://data.wennigsen.net ,jens@spiwi.de,52.2762744,9.5671846,2014-12-11,0,31,0,0,0,data.wennigsen.de,1.0
Bonn,Stadt,bonn,http://bonn.de,http://opendata.bonn.de,opendata@bonn.de,50.7358511,7.1006599,2014-12-11,0,103,0,0,7,"offenedaten.de,opendata.bonn.de",0.936363636363636
Baltrum,,baltrum,,,,53.72703795,7.39548387505676,2014-12-11,0,1,0,0,0,govdata.de,0.0
Verbandsgemeinde Rheinböllen,,verbandsgemeinderheinboellen,,,,50.0066163,7.6703839,2014-12-11,0,123,0,0,0,daten.rlp.de,1.0
Verbandsgemeinde Maxdorf,,verbandsgemeindemaxdorf,,,,49.4815909,8.287455,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Echternacherbrück,,echternacherbrueck,,,,49.8134189,6.4311864,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Hanau,Stadt,hanau,http://hanau.de,,webmaster@hanau.de,50.1335542,8.9168179,2014-12-11,0,0,0,1,0,offenedaten.de,0.0
Gütersloh,Stadt,guetersloh,http://guetersloh.de,,wolfgang.hein@gt-net.de,51.9044291,8.3799049,2014-12-11,0,0,0,0,1,offenedaten.de,0.0
Thür,,thuer,,,,50.3570635,7.2759497,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
München,Landeshauptstadt,muenchen,http://muenchen.de,http://www.muenchen.de/opendata,info@portalmuenchen.de,48.1372719,11.5754815,2014-12-11,0,0,0,5,10,offenedaten.de,0.0
Wattenheim,,wattenheim,,,,49.5217662,8.0619525,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Schwegenheim,,schwegenheim,,,,49.270724,8.3309303,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Ulm,Universitätsstadt,ulm,http://ulm.de,http://daten.ulm.de,opendata@ulm.de,48.398312,9.9910464,2014-12-11,0,108,9,10,18,"offenedaten.de,daten.ulm.de",0.627586206896552
Klüsserath,,kluesserath,,,,49.8436701,6.8502063,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Gera,Stadt,gera,http://gera.de,,Buero.Oberbuergermeister@gera.de,50.887824,12.08134408,2014-12-11,0,0,0,3,0,offenedaten.de,0.0
Schweisweiler,,schweisweiler,,,,49.5900432,7.8239609,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Worms,,worms,,,,49.6615131,8.32120408588846,2014-12-11,0,11,0,0,0,daten.rlp.de,1.0
Verbandsgemeinde Offenbach an der Queich,,verbandsgemeindeoffenbachanderqueich,,,,49.1959934,8.1928331,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Baden-Württemberg,Land,badenwuerttemberg,http://baden-wuerttemberg.de,http://opendata.service-bw.de,,48.6296972,9.1949534,2014-12-11,0,79,22,0,0,"offenedaten.de,opendata.service-bw.de",0.534653465346535
Hildesheim,Stadt,hildesheim,http://hildesheim.de,,info@hildesheim-marketing.de,52.1532179,9.9523941,2014-12-11,0,18,0,0,1,"offenedaten.de,govdata.de",0.947368421052632
Wawern,,wawern,,,,49.6488728,6.54127888172516,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Verbandsgemeinde Landstuhl,,verbandsgemeindelandstuhl,,,,49.4143311,7.5722301,2014-12-11,0,5,0,0,0,daten.rlp.de,1.0
Verbandsgemeinde Höhr-Grenzhausen,,verbandsgemeindehoehr-grenzhausen,,,,50.4369616,7.6695837,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Weselberg,,weselberg,,,,49.3347914,7.6088388,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Verbandsgemeinde Birkenfeld,,verbandsgemeindebirkenfeld,,,,49.6488236,7.1647477,2014-12-11,0,10,0,0,0,daten.rlp.de,1.0
Verbandsgemeinde Bad Hönningen,,verbandsgemeindebadhoenningen,,,,50.5157382,7.3065922,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Pfalzfeld,,pfalzfeld,,,,50.1127052,7.5789176,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Hetzerath,,hetzerath,,,,49.8751938,6.81074109858012,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Remagen,,remagen,,,,50.5784435,7.2311017,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Verbandsgemeinde Kandel,,verbandsgemeindekandel,,,,49.08594315,8.19663013629936,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
