Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,x,,,,,,,,,,,,,,Bewertung unbebauter Grundstücke im Stadtgebiet BS,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=0c6237ed-3829-4951-b75a-e7322f034c85,other-closed,,d
,,,,,,,,,,x,,,,,,Bodentypen und Bodenarten,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=39f70125-69a2-46f6-a458-13a50601ab5a,other-closed,PDF,d
,,,,,,,,,,x,,,,,,Biotoptypen 1987,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=538d3787-9684-499f-9fff-da8b0f61aa63,other-closed,,d
,,,,,,,,,x,,,,,,,Stadtkarte der klassifizierten Straßen,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=abbea766-4773-4cce-9632-b2624ce35e49,other-closed,"TIFF,SHAPE,DXF",d
,,x,,,,,,,,,,,,,,Kinderstadtplan der Stadt Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=0694fbfb-a17a-410a-9ad7-1a0ca6911a83,other-closed,"PDF,Papierkarte",d
,,,,,,,,,,,,,x,,,"PPP-Wirtschaftseinheiten (Schulen, Kitas, Sporthallen) im Bereich der Stadt Braunschweig",http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=419710ab-7b71-41c6-b1ff-b2ebb07eb55a,other-closed,,d
,,x,,,,,,,,,,,,,,Bewertungen von bebauten und unbebauten Grundstücken im Bereich der Stadt Braunschweig (Datenserie),http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=842acdc6-647b-4fa3-a3b6-7074d39c374a,other-closed,,d
,,x,,,,,,,,,,,,,,Höheninformationen aus der Laserscanbefliegung der Stadt Braunschweig 2011,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=7e27c98a-c953-4563-b7f7-de38ab6857d4,other-closed,TIFF,d
,,,,,,,,,,x,,,,,,Lage der Wertstoffcontainer im Bereich der Stadt Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=19c4071f-eb4d-4c7d-b51a-6b75c41a5112,other-closed,,d
,,,,,,,,,x,,,,,,,Winterdienst im Bereich der Stadt Braunschweig (Anwendung),http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=9d275ab9-93d7-4f3c-844d-fea2d81b9992,other-closed,Faltblatt,d
,,,,,,,,,,x,,,,,,Baumkataster der Stadt Braunschweig (Anwendung),http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=f01180e8-1427-4eec-b714-973dfc71bb95,other-closed,"PDF,Papierkarte",d
,,x,,,,,,,,,,,,,,Städtische Wohnbaugebiete im Bereich der Stadt Braunschweig (Anwendung),http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=f3e55b92-0a21-455c-9ce8-4bdc04fe71cc,other-closed,,d
,,x,,,,,,,,,,,,,,Stadtplan (Raumbezugsebene 3),http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=62479574-7804-4eb8-9f4f-e81b1c5a09bf,other-closed,"TIFF,SHAPE,DXF,AI",d
,,x,,,,,,,,,,,,,,Infrarot-Luftbilder - Digitale CIR-Orthofotos der Stadt Braunschweig aus dem Bildflug 2011,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=544b1263-01ea-4207-a9c6-b0e5c26e1093,other-closed,TIFF,d
,,,,,,,,,,x,,,,,,Wasserschutzgebiet,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=bba533a9-9e6c-4966-a7b9-a8d5319f4a0a,other-closed,PDF,d
,,x,,,,,,,,,,,,,,Digitales 3D-Stadtmodell Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=c57af686-be6b-434c-93a5-d71f767806a5,other-closed,"DXF,CityGML,3D-Shape,OBJ,MDB Multipatch",d
,,,,,,,,,,x,,,,,,Biotoptypen 2005,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=305d85b9-fe8f-4858-8e92-5222b6e6d559,other-closed,,d
,,,,,x,,,,,,,,,,,Denkmale,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=178089b2-0cbf-4ff2-84fe-c3209e4aadbd,other-closed,"PDF,Papierkarte",d
,,x,,,,,,,,,,,,,,Schulbezirke der Stadt Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=a248ca6d-53d2-47e8-8c75-dd7f09fe15b2,other-closed,,d
,,,,,,,,,,x,,,,,,Bericht 2010 über Altdeponien in der Stadt Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=8557c0b6-b10e-4997-b7dc-e47df3c5afcd,other-closed,PDF,d
,,,,,,,,,,,,,,,x,CSW-Schnittstelle: PortalU (Suchdienst),http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=0d04b132-cf9c-4cd9-85f5-d97077792b9c,other-closed,,d
,,x,,,,,,,,,,,,,,Naturräumliche Gliederung,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=71ff5a17-257d-453a-838e-74ede042501c,other-closed,,d
,,,,x,,,,,x,x,,,,,,Wasserentnahmestellen der Feuerwehr,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=d3c6a865-8965-45e4-8fcc-1b8d21848f7d,other-closed,,d
,,,,,,,,,x,,,,,,,Straßenmittenlinien,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=1ad39fd8-17c5-411d-aec5-faf9f41c4a66,other-closed,"TIFF,SHAPE,DXF",d
,,x,,,,,,,,,,,,,,Hausnummern,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=ff2a4fbc-cbfc-4be9-8fa7-c448d1523dc6,other-closed,"XLS,TIFF,SHAPE,DXF,ASCII",d
,,x,,,,,,,,,,,,,,Stadtbezirke Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=1a477419-85e0-43fd-820d-b48fb0556fd5,other-closed,"TIFF,SHAPE,DXF,PDF,AI",d
,,x,,,,,,,,,,,,,,Geologie,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=a29685a0-f15e-4011-b82e-a07c49c9c542,other-closed,PDF,d
,,,,,,,,,,x,,,,,,Biotoptypen 1993,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=06d6db8a-e08d-4095-beaa-afaeb3dadd74,other-closed,,d
,,x,,,,,,,,,,,,,,Siedlungsentwicklung Gewerbe- und Industriegebiete,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=8588d78e-517b-443b-b619-7b23015ead5b,other-closed,"PDF,Papierkarte",d
,,,,,,,,,x,,,,,,,Widmung öffentlicher Verkehrflächen ,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=dbbe83e3-f3fa-44a9-ab07-bc3079e0f731,other-closed,,d
,,,,,,,,,x,,,,,,,Verkehrszählungsdaten ,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=f57fad30-0cd5-46f9-a33b-229db8e17e92,other-closed,,d
,,,,,,,,,x,,,,,,,Straßenreinigungskataster,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=e6b560b9-1740-47cb-8cda-b8fb8874baf9,other-closed,,d
,,,,,,,,,,x,,,,,,Altablagerungen im Stadtgebiet Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=cf762c5e-b522-43e3-9416-6b1ecde1f013,other-closed,PDF,d
,,,,x,,,,,x,x,,,,,,Lage der Hydranten im Stadtgebiet Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=f759d661-be10-4dac-8811-17f3f3fbe5f9,other-closed,,d
,,,,,,,,,,,,,x,,,Kleingärten im Bereich der Stadt Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=c969649d-1a40-4f7e-9315-e075a19a4901,other-closed,,d
x,,,,,,,,,,,,,,,,Kindertagesstätten im Bereich der Stadt Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=8e1506c5-88a2-4993-9902-e39224721d1e,other-closed,,d
,,,,,,,,,,x,,,,,,Karte möglicher Boden- und Grundwasserbelastungen in Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=9f451b19-650e-4ad8-9ef8-b2011e8bbde9,other-closed,PDF,d
,,,,,,,,,,,,,,,x,Metadatenkatalog Braunschweig (CSW-Schnittstelle),http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=5ca0d1c4-12e3-4460-a7b4-e5cfc69c267d,other-closed,,d
,,,,,,,,,,x,,,,,,Artenschutzkonzept,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=8f8c7924-18b4-4a26-b88c-f85a84676754,other-closed,,d
,,,,x,,,,,,,,,,,,Wohnen im Alter,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=7d8e7fbf-20ec-481b-ab13-bca68313eb7b,other-closed,,d
,,,,,,,,,x,,,,,,,Parkangebote und aktuelle Parksituation in der Innenstadt Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=307e88fc-8944-4bb0-96a1-c59ff82437f4,other-closed,,d
,,,,,,,,,x,,,,,,,Aktuelle Verkehrssituation,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=b60cf3cf-e47f-4957-ae9c-55721bb79884,other-closed,,d
,,x,,,,,,,,,,,,,,Statistisches Jahrbuch,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=abc9d2ef-49f5-46e2-8e5d-ec405df115b3,other-closed,,d
,,,,,,,,,x,,,,,,,Masterplan Ringgleis,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=9c6c4073-99e7-4bb8-aec6-804da430412e,other-closed,,d
,,,,,,,,,,x,,,,,,Artenschutz (Umweltkarte),http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=f4479c07-5a55-4d25-b315-03cac4ff08ae,other-closed,,d
x,,,,,,,,,,,,,,,,Schulwegpläne,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=e352e1a4-e820-489f-b8da-0603261e09e7,other-closed,,d
,,x,,,,,,,,,,,,,,Übersichtskarten,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=2489753d-f28a-494a-8355-91b767d96142,other-closed,"TIFF,SHP,AI",d
,,,,,,,,,,x,,,,,,Übersicht Park- und Grünanlagen,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=dbbb2df4-2e01-4602-b51e-ba8b29baf1f1,other-closed,,d
x,,,,,,,,,,,,,,,,Disc-Golf-Parcours Braunschweig-Westpark,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=fe2926fe-3a93-442b-b020-e7541e512b2d,other-closed,,d
,,,,,,,,,x,,,,,,,Winterdienst im Bereich der Stadt Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=ee3850de-9653-41bb-941d-af3bff9077c4,other-closed,Faltblatt,d
,,,,,,,,,,x,,,,,,Bericht 2011 über Altdeponien in der Stadt Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=ab7c1611-9a14-4841-8333-456c6ca0b1d2,other-closed,PDF,d
,,,,,,,,,,x,,,,,,Kampfmittelbelastungskarte,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=90b89c64-efce-44ff-9e2f-363387c0b650,other-closed,,d
,,,,,,,,,x,,,,,,,Übersichtskarte und Informationsbroschüre für Busfahrer,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=9dbd15d1-2975-45aa-9117-1e98a0f32fc5,other-closed,"Karte,Broschüre",d
,,,,,,,,,x,,,,,,,Stadtplan mit Behindertenparkplätzen,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=0d4f4e61-3348-4eba-94e4-4e892eaa6af6,other-closed,,d
,,,,,,,,,x,,,,,,,Verkehrsmengenkarten,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=df0038e0-e7ae-4bdb-9354-ae3d041a8fde,other-closed,,d
