Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,,,,,,x,,,,,,Geschützte Landschaftsbestandteile DGK5 Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=31868e73-20eb-4337-bec9-f6c4aff2f2fe,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Fachkarte Sicherheit und Ordnung Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=b6e8c616-2284-4c09-bb28-2888e144ea88,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Kleinkläranlagen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62177,nicht bekannt,,d
,,x,,,,,,,,,,,,,,Digitale Übersichtskarte Niedersachsen 1:500.000 Farbe Landkreis Diepholz (DÜKN),http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=52f2d9c4-975f-4e1d-a72d-ed23f4fb51ff,nicht bekannt,,d
,,x,,,,,,,,,,,,,,Digitale Übersichtskarte Niedersachsen 1:500.000 Graustufen-Darstellung Landkreis Diepholz (DÜKN),http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=da23b3ff-6151-4704-9e1d-ae370cb5b347,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Grundwassermessnetz NLWKN Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=2560f547-e0fb-4a24-9b42-da20da075724,nicht bekannt,,d
,,,,,,,,x,,,,,,,,Trinkwasserbrunnen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62181,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Notfalltreffpunkte Forst Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=c1d476aa-24a5-4107-90ed-8a572f163754,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Fachkarte Natur und Landschaft Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=bac4b9e2-6c36-4a65-992e-470af03309dc,nicht bekannt,,d
,,,,,,,,,,x,,,,,,LSG-Beschilderung Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6289,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Naturdenkmale AK5 Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6293,nicht bekannt,,d
,x,,,,,,,,,,,,,,,Grundschulen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6210,nicht bekannt,,d
,,,,,,,,,,,,x,,,,Adressdaten 2011 Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=8da55169-1a3e-4048-95de-621ce459d4a5,nicht bekannt,,d
,x,,,,,,,,,,,,,,,Weiterführende Schulen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6211,nicht bekannt,,d
,,,,,,,,,,,x,,,,,Fachkarte Veterinärwesen und Verbraucherschutz Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=44fc66a0-c24a-4016-b60f-d4750249e65b,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Versorgungsgebiet Syker Vorgeest Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62198,nicht bekannt,,d
,,,,,,x,,,,,,,,,,Radtouren Landkreis Diepholz Einzelabschnitte,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=691f4096-a002-4e48-92ba-116a84c5c1e0,nicht bekannt,,d
,,,,,,,,,,,x,,,,,Bezirke Lebensmittelkontrolleure Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=65dbfd3b-988e-4ffa-8e0b-2197f1c25736,nicht bekannt,,d
,,,,,,x,,,,,,,,,,Freibäder Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6214,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Vorgangsbearbeitung Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62199,nicht bekannt,,d
,,,,,,,,,,x,,,,,,VAwS-Anlagenstandorte Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62187,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Blockheizkraftwerke Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=270e38a7-374b-4de5-86be-d128b66569db,nicht bekannt,,d
,,x,,,,,,,,,,,,,,Flurstücke Landkreis Diepholz Katasteramtsbezirk Syke,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-44f7-326b01ab623,nicht bekannt,,d
,,,,,,,,x,,,,,,,,Fachkarte Jugend und Soziales Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=086c23d6-593f-4a32-abb6-e476cea90dbd,nicht bekannt,,d
,,,,,,x,,,,,,,,,,Wanderwege Naturpark Dümmer Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=c3629fc6-a4fd-41fe-b9c0-333547b1d8b6,nicht bekannt,,d
,,x,,,,,,,,,,,,,,Amtliche Karte AK5 1:5000 Grau-Stufen-Darstellung Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=11f5e339-a3ca-4ee0-84e5-021dbca23afc,nicht bekannt,,d
,,x,,,,,,,,,,,,,,ATKIS DLM1000 Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=fd7c4c05-414a-4900-b48d-64d60797c132,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Bodenrichtwerte Landwirtschaft Landkreis Diepholz 2013,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=f1a89aff-b4e7-4695-81f9-6882cd4a451e,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Heuschrecken Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=1ed2051e-71be-4727-b6be-d4efe89853f7,nicht bekannt,,d
,,,,,,,,,,,,x,,,,Mitgliedsgemeinde Einzelabgrenzung Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=49bf4e04-cf23-4813-8032-16335ffa25ee,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Sandabbau Nassgewinnung Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6297,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Bodenrichtwerte Bauland Landkreis Diepholz 2011,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=f4da88f1-cef5-4ccf-a253-6fcd7aa95428,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Bodenrichtwerte Bauland Landkreis Diepholz 2012,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=d8a02c28-41a5-4a4e-81cd-0cc07632d7b1,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Bodenrichtwerte Landwirtschaft Landkreis Diepholz 2000,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=07f2a7d8-bd87-4b12-a42c-0c7bfbe616f8,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Bodenrichtwerte Landwirtschaft Landkreis Diepholz 2010,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ffedf33e-ea21-4895-883d-980f3095db58,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Bodenrichtwerte Landwirtschaft Landkreis Diepholz 2012,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=52d9697f-80e2-434e-9572-c350292517d5,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Flächennutzungsplan Stadt Bassum,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=79841565-c09a-41f2-a8f6-b4470f78f804,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Sanierungsgebiete Landkreis Diepholz 2011,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=3f0d710d-cc4d-436f-9810-ce2a4afe366f,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Bodenrichtwerte Landwirtschaft Landkreis Diepholz 2011,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=4ea9d83f-a30f-4218-a306-e256be220599,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Brachflächen Sulingen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=9e06593e-428d-495d-a261-0aa8bcbd2ad7,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Kläranlagen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=03c1c292-9fd3-4235-9045-070b91338a94,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Bodenrichtwerte Bauland Landkreis Diepholz 2013,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=e779aa4c-2153-419f-9843-b33e34d56723,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Verdachtsflächen Diepholz Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=f018956c-8974-4ca1-8268-66aa48f853a8,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Verdachtsflächen Barnstorf Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=2fce81cb-9748-4919-8f34-c980a33a1736,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Brachflächen Diepholz Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=bf67c68c-678d-4f92-9759-f25e11ddb21e,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Brachflächen Barnstorf Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=8e58d99d-77a8-49db-83b6-1a9d17b3ff8d,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Verdachtsflächen Bruchhausen-Vilsen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=05e5d3aa-6606-45c2-a013-55ede1062aff,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Brachflächen Bruchhausen-Vilsen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=13c9f53d-90e6-4185-9bce-ed1441dc334c,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Sanierungsgebiete Landkreis Diepholz 2010,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=a9837d3f-2a1d-49b4-a1a7-25ebf2c2afca,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Bodenrichtwerte Landwirtschaft Landkreis Diepholz 2014,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=d2e959d8-ff21-402f-a474-6306953c4894,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Bodenrichtwerte Bauland Landkreis Diepholz 2014,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=e6592ac2-1ac0-4611-86ef-5ed76936468a,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Bodenrichtwerte Bauland Landkreis Diepholz 2010,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=7116fa08-5688-4409-be3e-6e3d6bb460d7,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Sanierungsgebiete Landkreis Diepholz 2014,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=54dd02c2-c651-48eb-8cf1-13cdafa4ce51,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Biogasanlagen Pufferzone Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=48ddf53a-9a92-48a0-b861-1cc84237bb68,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Geschützte Landschaftsbestandteile Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6273,nicht bekannt,,d
,,,,,,,,,,x,,,,,,EU-Vogelschutzgebiete Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6275,nicht bekannt,,d
,,,,,,,,,,x,,,,,,FFH Gebiete DGK5 Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6282,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Biogasanlagen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62102,nicht bekannt,,d
,,,,,,,,,,x,,,,,,EU Vogelschutzgebiete DGK5 Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6279,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Naturdenkmale Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6292,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Naturschutzgebiete Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6295,nicht bekannt,,d
,,,,,,,,,,x,,,,,,FFH Gebiete Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6281,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Gesamtstaatliche repräsentative Gebiete Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6284,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Naturschutzgebietswege Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=e595565c-427d-4529-947a-02dd22afcc23,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Wasserschutzgebiete Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62201,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Altablagerungen Pufferzone 250 m Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62166,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Altablagerungen Pufferzone 250m Landkreis Diepholz (alt),http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=2f3a941f-a727-466f-a0b8-0934e41797e4,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Vorläufig festgesetzte Überschwemmungsgebiete Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62200,nicht bekannt,,d
,,,,,,x,,,,,,,,,,Fachkarte Freitzeit und Tourismus Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=0f3bc67d-2605-4cba-8f3e-5f5d809f3859,nicht bekannt,,d
,,,,,,,,,,,,x,,,,Verwaltungseinheiten Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62119,nicht bekannt,,d
,x,,,,,,,,,,,,,,,Fachkarte Bildung und Kultur Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=42dd120a-2c9f-4130-b2ec-234f83daa836,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Landschaftsschutzgebiete DGK5 Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6288,nicht bekannt,,d
,,,,,,x,,,,,,,,,,Radroutenwegweiser Fahrradleitsystem Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=aa19df85-4422-4dee-b6c5-8e779a922124,nicht bekannt,,d
,,,,,,,,,,,,x,,,,Orte Landkreis Diepholz (Polygon),http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62115,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Altablagerungen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62165,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Altlastenverdachtsflächen nach Bergrecht Sulingen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=290e70c1-0640-440a-9feb-95415262a83c,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Flächennutzungsplan Stadt Sulingen,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=e243e960-bdcf-437d-9a55-3c9f3c62a4ad,nicht bekannt,,d
,,,,,,,,,x,,,,,,,Strassenwidmung Stadt Sulingen,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=6a63e324-3a35-4f76-8a8d-79974d97cc16,nicht bekannt,,d
,,x,,,,,,,,,,,,,,Flurstücke Landkreis Diepholz Katasteramtsbezirk Sulingen,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-44f7-326b01ab622,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Landschaftsschutzgebiete Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6287,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Windkraftanlagen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62204,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Solarparks Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=fcdebc27-f5d8-4626-bab3-0af081a72b5d,nicht bekannt,,d
,,,,,,,,,x,,,,,,,Bahnkilometerpunkte Niedersachsen,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=86cc189f-999f-474a-933a-1e81f6d98aa1,nicht bekannt,,d
,,,,,,,,,x,,,,,,,Eisenbahnbrücken punktförmig Niedersachsen,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=2af1ca1b-341b-40c6-aea8-f89f2c53fc68,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Baudenkmäler Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62101,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Breitband DSL 6 MBITs Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=14dab74c-b8b5-4213-b99a-7453dc1f7aaf,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Breitband SDSL Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=3bb17161-0b10-4467-9c8a-f61045f3368c,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Breitband Endergebnis Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=783eef1c-8647-43ca-b6fd-5b15b3607460,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Breitband DSL Light Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=386e8585-040f-422f-a825-fd438b0ab770,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Hauptverteilerstandorte Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=73407b5f-8ede-415b-8673-3d31b8ce7d14,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Breitband ISDN Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=19dac27a-f18a-49dd-b895-668c59be2822,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Kanalkataster Gemeinde Wagenfeld,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=8c9c978f-16d3-4ac7-99ec-cf9c01aaa843,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Breitband DSL 1 MBITs Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=60c4c23a-df23-4242-8928-133bf69674bc,nicht bekannt,,d
,,x,,,,,,,,,,,,,,DTK25 Blattschnitt Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=3c0fc56c-c0b3-46f7-ae36-dd7adaa32614,nicht bekannt,,d
,,,,,,,,,,,,x,,,,PLZ Zonen Deutschland,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6244,nicht bekannt,,d
,,,,,,,,x,,,,,,,,Pflegeheime Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6238,nicht bekannt,,d
,,,,,,,,,x,,,,,,,Schulwegenetz Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=7fdba55b-cae1-4ffd-8a91-72ff054d6219,nicht bekannt,,d
,,,,,,,,x,,,,,,,,Hospizdienste Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6234,nicht bekannt,,d
,,x,,,,,,,,,,,,,,ATKIS Basis-DLM25 Landkreis Vechta,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=59814c05-c5da-4172-82bd-3b530329c733,nicht bekannt,,d
